Institution_ID,Institution_Name,Type,Specialties,Nationwide,Overall_Placement_Rate_Percent,Placement_Timeframe,Data_Year,Verification_Level,Average_Starting_Salary_USD,Avg_Starting_Salary_Year,Entry_Level_Range_USD,Median_Annual_Salary_USD,Annual_Job_Openings,Job_Openings_Timeframe,Graduation_Rate_Percent,Locations,Notes,Data_Sources
uti,Universal Technical Institute (UTI),National for-profit chain,"Automotive, Diesel, Welding, Collision",Yes,85,within 1 year,2024,High,45000,2024,35000-55000,51000-62000,105400,"2024-2031, Avg annual",70,"Multiple nationwide",85% within 1 year; 92% within 6 months (2022 data); 70% on-time graduation,https://www.uti.edu/disclosures
lincoln_tech,Lincoln Technical Institute,National for-profit chain,"Automotive, HVAC, Electrical, Heavy Equipment",Yes,95,"within 3 months, Heavy Equipment program",2024,High,48000,2024,40000-60000,59810,24900 (HVAC),"2024-2034",80-97,"Multiple nationwide, South Plainfield NJ",95% placement (South Plainfield Heavy Equipment); 80% general programs; 97% specialized food industry; Johnson Controls partnership 90%+ retention,https://www.lincolntech.edu/career-services/who-hires-our-graduates
pennco_tech,Pennco Tech,Regional private technical,Automotive/HVAC/Electrical,No,,,2024,Low,40000,2024,,,"",Bristol PA; Blackwood NJ,No specific placement rate disclosed; majority employed within 1 year; 23200 total graduates,https://www.penncotech.edu/career-services/
ibew_neca,IBEW/NECA Training Centers,Union apprenticeship,Electrical trades,Yes,,,2024,High,55000 (apprentice start),2024,Paid from week 1,60000+,"20000+ (Electrical Jobs)",2024,90,"Multiple nationwide",Paid apprenticeship model; placement begins at start of training; 350000 apprentices trained to journeyman status cumulative; debt-free graduates,https://www.electricaltrainingalliance.org/
orange_tech_college,Orange Technical College,State vocational (Florida),Various vocational trades,No,,,2024,Low,38000,2024,,,"","East, West, South, Mid-Florida campuses",Graduation rates by campus: East 63%; West 77%; South 47%; No specific placement rate disclosed,https://www.orangetechcollege.net/
penn_foster,Penn Foster,Online platform (private),"Construction, HVAC, Electrical, Plumbing",Yes,,,2024,Medium,59310,2024,40000-70000,,,"","100% online, self-paced",92.5% learning goal achievement; No placement rate disclosed; 100s of employer partnerships,https://www.pennfoster.edu/programs/trades
skillcat,SkillCat,Online platform,HVAC/EPA 608,Yes,,,2024,Medium,50000,2024,,,"","Mobile app + online, self-paced",98% EPA 608 pass rate; 300000+ students enrolled; 1500 certs monthly; Job network with 100+ companies,https://www.skillcatapp.com
smart_buildings_academy,Smart Buildings Academy,Online platform,"BAS, HVAC Controls",Yes,,,2024,Medium,55000,2024,,,"","Online, self-paced with live office hours",11-week program; 80% job-chargeable by week 4; Partnership with Cochrane Supply,https://www.smartbuildingsacademy.com/
community_colleges,Community Colleges (National),Public two-year,Multiple trades,Yes,70,"6 months, varies by state",2024,Medium,45000,2024,35000-65000,,,"Multiple states","70% national average (6 month placement); 62% alternative rate; Healthcare 90% in Colorado; 20% enrollment growth 2020-2024 (871000 total); Significant state variation",https://nces.ed.gov/surveys/ctes/
,,,,,,,,,,,,,,,,
Aggregate Statistics,,,,,,,,,,,,,
National Trade School Average,All types combined,,"All trades",,"70 percent (6 months); 62 percent (alternative)",6 months post-completion,2024,Medium,35720,2024,,,65,,"3.1% unemployment rate for trade graduates; 82% of construction firms report difficulty finding qualified workers",https://financesonline.com/trade-school-college-statistics/
